URL,Domain,Anchor
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/hay’-tahrir-al-sham,cisac.fsi.stanford.edu,Hay'at Tahrir al-Sham (Formerly Jabhat al-Nusra)
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/hezbollah,cisac.fsi.stanford.edu,Hezbollah
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/hizbul-islam,cisac.fsi.stanford.edu,Hizbul Islam
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-army-iraq,cisac.fsi.stanford.edu,Islamic Army in Iraq
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-courts-union,cisac.fsi.stanford.edu,Islamic Courts Union
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-international-peacekeeping-brigade,cisac.fsi.stanford.edu,Islamic International Peacekeeping Brigade
https://cisac.fsi.stanford.edu/mappingmilitants/content/mmp-islamic-movement-kurdistan-0,cisac.fsi.stanford.edu,Islamic Movement of Kurdistan
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-movement-uzbekistan,cisac.fsi.stanford.edu,Islamic Movement of Uzbekistan
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-state,cisac.fsi.stanford.edu,Islamic State
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-state-sinai-province,cisac.fsi.stanford.edu,Islamic State – Sinai Province
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-state-greater-sahara,cisac.fsi.stanford.edu,Islamic State in the Greater Sahara
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/islamic-state-khorasan-province,cisac.fsi.stanford.edu,Islamic State in the Khorasan Province
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/jaish-e-mohammed,cisac.fsi.stanford.edu,Jaish-e-Mohammed
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/jamaat-nusrat-al-islam-wal-muslimeen,cisac.fsi.stanford.edu,Jamaat Nusrat al-Islam wal Muslimeen
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/jamaat-ul-ahrar-ja,cisac.fsi.stanford.edu,Jamaat-ul-Ahrar
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/jaysh-al-islam,cisac.fsi.stanford.edu,Jaysh al-Islam
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/jrtn,cisac.fsi.stanford.edu,Jaysh Rijal al-Tariqa al-Naqshbandia
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/jemaah-islamiyah,cisac.fsi.stanford.edu,Jemaah Islamiyah
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/jund-al-aqsa,cisac.fsi.stanford.edu,Jund al-Aqsa
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/kataib-hezbollah,cisac.fsi.stanford.edu,Kata'ib Hezbollah
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/kataib-sayyid-al-shuhada,cisac.fsi.stanford.edu,Kata’ib Sayyid al-Shuhada
http://cisac.fsi.stanford.edu/mappingmilitants/content/mmp-lashkar-e-islam,cisac.fsi.stanford.edu,Lashkar-e-Islam
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/lashkar-e-jhangvi-lej,cisac.fsi.stanford.edu,Lashkar-e-Jhangvi (LeJ)
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/lashkar-e-taiba,cisac.fsi.stanford.edu,Lashkar-e-Taiba
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/lashkar-e-zil,cisac.fsi.stanford.edu,Lashkar-e-Zil
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/liberation-tigers-tamil-elam,cisac.fsi.stanford.edu,Liberation Tigers of Tamil Elam
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/libyan-islamic-fighting-group,cisac.fsi.stanford.edu,Libyan Islamic Fighting Group
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/moro-islamic-liberation-front,cisac.fsi.stanford.edu,Moro Islamic Liberation Front
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/moro-islamic-liberation-front,cisac.fsi.stanford.edu,Moro National Liberation Front
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/moroccan-islamic-combatant-group,cisac.fsi.stanford.edu,Moroccan Islamic Combatant Group
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/mujao,cisac.fsi.stanford.edu,Mouvement pour l’Unification et le Jihad en Afrique de l’Ouest (MUJAO)
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/mujahideen-army,cisac.fsi.stanford.edu,Mujahideen Army
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/national-liberation-army-eln,cisac.fsi.stanford.edu,National Liberation Army (ELN)
https://cisac.fsi.stanford.edu/mappingmilitants/content/mmp-new-irish-republican-army,cisac.fsi.stanford.edu,New Irish Republican Army
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/new-order,cisac.fsi.stanford.edu,New Order
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/1920s-revolution-brigades,cisac.fsi.stanford.edu,1920s Revolution Brigades
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/oath-keepers,cisac.fsi.stanford.edu,Oath Keepers
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/october-22-circle,cisac.fsi.stanford.edu,October 22 Circle
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/offical-irish-republican-army,cisac.fsi.stanford.edu,Official Irish Republican Army
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/partisan-action-groups,cisac.fsi.stanford.edu,Partisan Action Groups
https://cisac.fsi.stanford.edu/mappingmilitants/profiles/patriot-prayer,cisac.fsi.stanford.edu,Patriot Prayer
